,AAPL,JNJ,MMM,MCD,PG,KO,WMT,XOM,BA
AAPL,1.0,0.7323251181337278,0.7477967936582595,0.8015587937557231,0.1410633688586721,0.509628202846215,0.7991553234476552,-0.31934711639678026,0.9445484943897183
JNJ,0.7323251181337278,1.0,0.9170677552574059,0.9215696246461312,0.5704051727675438,0.7877606215255334,0.7104945138608166,-0.06364053107440189,0.7547432013065758
MMM,0.7477967936582595,0.9170677552574059,1.0,0.8802147404033556,0.45128118209687507,0.6556668487839105,0.771541554118634,-0.10761920198892745,0.7972340396879063
MCD,0.8015587937557231,0.9215696246461312,0.8802147404033556,1.0,0.3299652793303788,0.7847700218807873,0.6910313527791159,-0.28375617688160065,0.8618819105146838
PG,0.1410633688586721,0.5704051727675438,0.45128118209687507,0.3299652793303788,1.0,0.5080908695917187,0.32923488008060464,0.3229395402158616,0.0622501655699462
KO,0.509628202846215,0.7877606215255334,0.6556668487839105,0.7847700218807873,0.5080908695917187,1.0,0.5707679900412813,0.029151522264166545,0.555805578739448
WMT,0.7991553234476552,0.7104945138608166,0.771541554118634,0.6910313527791159,0.32923488008060464,0.5707679900412813,1.0,-0.015367232422293278,0.816314936454789
XOM,-0.31934711639678026,-0.06364053107440189,-0.10761920198892745,-0.28375617688160065,0.3229395402158616,0.029151522264166545,-0.015367232422293278,1.0,-0.3300634610814151
BA,0.9445484943897183,0.7547432013065758,0.7972340396879063,0.8618819105146838,0.0622501655699462,0.555805578739448,0.816314936454789,-0.3300634610814151,1.0
